id,name,categorygroupid
610,"Carpet store",32
611,"Carpet wholesaler",32
612,Carpool,37
613,"Carport and pergola builder",7
614,"Carriage ride service",20
615,Carvery,14
616,"Cash and carry wholesaler",32
617,Casino,20
618,"Casket service",27
619,"Castilian restaurant",14
620,Castle,20
621,"Syokudo and Teishoku restaurant",14
622,"Conveyor belt sushi restaurant",14
623,"Cat boarding service",26
624,"Cat breeder",26
625,"Cat trainer",26
626,"Catalonian restaurant",14
627,"Catering food and drink supplier",35
628,Caterer,14
629,Cathedral,23
630,"Catholic cathedral",23
631,"Catholic church",23
632,"Catholic school",9
633,Cattery,26
634,"Cattle farm",2
635,"Cattle market",2
636,"Caucasian restaurant",14
637,"CBSE school",9
638,"CD store",32
639,"Ceiling supplier",35
640,"Cell phone accessory store",32
641,"Cell phone charging station",32
642,"Cell phone store",32
643,"Cement manufacturer",21
644,"Cement supplier",35
645,Cemetery,23
646,"Cendol restaurant",14
647,"Central American restaurant",14
648,"Central authority",15
649,"Central bank",13
650,"Central European restaurant",14
651,"Central Javanese restaurant",14
652,"Ceramic manufacturer",21
653,"Ceramics wholesaler",32
654,"Certification agency",27
655,Chalet,20
656,"Chamber of agriculture",23
657,"Chamber of Commerce",23
658,"Chamber of handicrafts",23
659,"Champon noodle restaurant",14
660,"Chanko restaurant",14
661,Chapel,23
662,Charcuterie,14
663,Charity,23
664,"Charter school",9
665,"Check cashing service",13
666,"Cheese manufacturer",21
667,"Cheese shop",14
668,"Cheesesteak restaurant",14
669,"Chemical engineer",11
670,"Chemical exporter",21
671,"Chemical manufacturer",21
672,"Chemical plant",21
673,"Chemical wholesaler",32
674,"Chemistry faculty",9
675,"Chemistry lab",9
676,"Chesapeake restaurant",14
677,"Chess and card club",34
678,"Chess club",34
679,"Chess instructor",9
680,"Chettinad restaurant",14
681,"Chevrolet dealer",8
682,"Chicken hatchery",2
683,"Chicken restaurant",14
684,"Chicken shop",32
685,"Chicken wings restaurant",14
686,"Child care agency",19
687,"Child health care centre",16
688,"Child psychiatrist",22
689,"Child psychologist",22
690,"Childbirth class",16
691,"Children’s amusement center",4
692,"Children hall",4
693,"Children Policlinic",16
694,"Children’s book store",32
695,"Children’s café",14
696,"Children’s clothing store",32
697,"Children’s club",4
698,"Children’s farm",2
699,"Children’s furniture store",32
700,"Children’s home",23
701,"Children’s hospital",16
702,"Children’s library",9
703,"Children’s museum",4
704,"Children’s party buffet",14
705,"Children’s party service",4
706,"Children’s store",32
707,"Children’s theater",4
708,"Chilean restaurant",14
709,"Chimney services",7
710,"Chimney sweep",7
711,"Chinaware store",32
712,"Chinese language instructor",9
713,"Chinese language school",9
714,"Chinese medicine clinic",16
715,"Chinese medicine store",32
716,"Chinese noodle restaurant",14
717,"Chinese bakery",14
718,"Chinese restaurant",14
719,"Chinese supermarket",32
720,"Chinese takeaway",14
721,"Chinese tea house",14
722,Chiropractor,22
723,"Chocolate artisan",14
724,"Chocolate cafe",14
725,"Chocolate factory",21
726,"Chocolate shop",14
727,Choir,4
728,"Chop bar",14
729,"Chophouse restaurant",14
730,"Christian book store",32
731,"Christian church",23
732,"Christian college",9
733,"Christmas market",12
734,"Christmas store",32
735,"Christmas tree farm",2
736,"Chrysler dealer",8
737,Church,23
738,"Church of Christ",23
739,"Church of Jesus Christ of Latter-day Saints",23
740,"Church of the Nazarene",23
741,"Church supply store",32
742,Churreria,14
743,"Cider bar",14
744,"Cider mill",14
745,"Cig kofte restaurant",14
746,"Cigar shop",32
747,"Cinema equipment supplier",35
748,Circus,4
749,"Citizen information bureau",15
750,"Citizens advice bureau",15
751,"Citroen dealer",8
752,"City administration",15
753,"City clerk’s office",15
754,"City courthouse",15
755,"City Department of Environment",15
756,"City Department of Public Safety",15
757,"City department of transportation",15
758,"City district office",15
759,"City employment department",15
760,"City government office",15
761,"City or town hall",15
762,"City park",20
763,"City pillar shrine",23
764,"City tax office",15
765,"Civic center",15
766,"Civil defense",15
767,"Civil engineer",11
768,"Civil engineering company",7
769,"Civil examinations academy",9
770,"Civil law attorney",27
771,"Civil police",15
772,"Civil registry",15
773,Class,9
774,"Classified ads newspaper publisher",4
775,Cleaners,27
776,"Cleaning products supplier",35
777,Clergyman,23
778,"Clock repair service",31
779,"Clock watch maker",27
780,"Closed circuit television",27
781,"Clothes and fabric manufacturer",21
782,"Clothes and fabric wholesaler",32
783,"Clothes market",32
784,"Clothing alteration service",32
785,"Clothing store",32
786,"Clothing supplier",35
787,"Clothing wholesale market place",32
788,"Clothing wholesaler",32
789,Club,4
790,"CNG fitment center",21
791,"Compressed natural gas station",10
792,"Coaching center",9
793,"Coal exporter",10
794,"Coal supplier",35
795,Coalfield,21
796,"Coast guard station",15
797,"Coat wholesaler",32
798,"Cocktail bar",14
799,"Co-ed school",9
800,"Coffee machine supplier",35
801,"Coffee roasters",14
802,"Coffee shop",14
803,"Coffee stand",14
804,"Coffee store",32
805,"Coffee vending machine",32
806,"Coffee wholesaler",32
807,"Coffin supplier",35
808,"Coin dealer",8
809,"Coin operated laundry equipment supplier",35
810,"Coin operated locker",32
811,"Cold cut store",14
812,"Cold noodle restaurant",14
813,"Cold storage facility",37
814,"Collectibles store",32
815,College,9
816,"College of agriculture",9
817,"Colombian restaurant",14
818,"Combined primary and secondary school",9
819,"Comedy club",4
820,"Comic book store",32
821,"Comic cafe",14
822,"Commercial agent",28
823,"Commercial cleaning service",27
824,"Commercial printer",27
825,"Commercial real estate agency",28
826,"Commercial real estate inspector",28
827,"Commercial refrigeration",27
828,"Commercial refrigerator supplier",35
829,"Commissioner for Oaths",27
830,"Communications central",36
831,"Community center",23
832,"Community college",9
833,"Community garden",23
834,"Community health centre",17
835,"Community school",9
836,"Company registry",27
837,"Comprehensive secondary school",9
838,"Computer accessories store",32
839,"Computer club",9
840,"Computer consultant",36
841,"Computer desk store",32
842,"Computer hardware manufacturer",21
843,"Computer networking service",36
844,"Computer repair service",31
845,"Computer security service",36
846,"Computer service",36
847,"Computer software store",32
848,"Computer store",32
849,"Computer support and services",36
850,"Computer training school",9
851,"Computer wholesaler",32
852,"Concert hall",4
853,"Concrete contractor",7
854,"Concrete factory",21
855,"Concrete metal framework supplier",35
856,"Concrete product supplier",35
857,"Condiments supplier",35
858,"Condominium complex",28
859,"Condominium rental agency",28
860,Confectionery,14
861,"Confectionery wholesaler",32
862,"Conference center",12
863,Congregation,23
864,"Conservation department",15
865,"Conservative club",23
866,"Conservative synagogue",23
867,"Conservatory construction contractor",7
868,"Conservatory of music",9
869,"Conservatory supply & installation",7
870,"Consignment shop",32
871,"Construction and maintenance office",7
872,"Construction company",7
873,"Construction equipment supplier",35
874,"Construction machine dealer",8
875,"Construction machine rental service",7
876,"Construction material wholesaler",32
877,Consultant,27
878,"Consumer advice center",7
879,"Contact lenses supplier",35
880,"Container service",37
881,"Container supplier",35
882,"Container terminal",37
883,"Containers supplier",35
884,"Contemporary Louisiana restaurant",14
885,"Continental restaurant",14
886,Contractor,7
887,"Convenience store",32
888,"Convention center",12
889,"Convention information bureau",12
890,Conveyancer,28
891,"Cookie shop",14
892,"Cooking class",9
893,"Cooking school",9
894,"Cooling plant",10
895,"Cooperative bank",13
896,"Copier repair service",31
897,"Copper supplier",35
898,Coppersmith,21
899,"Copy shop",27
900,"Copying supply store",32
901,"Corporate campus",28
902,"Corporate entertainment service",12
903,"Corporate gift supplier",35
904,"Corporate office",28
905,"Correctional services department",15
906,"Cosmetic dentist",22
907,"Cosmetic products manufacturer",21
908,"Cosmetic surgeon",22
909,"Cosmetics and perfumes supplier",35
910,"Cosmetics industry",21
911,"Cosmetics store",32
912,"Cosmetics wholesaler",32
913,"Cosplay café",14
914,"Costa Rican restaurant",14
915,"Costume jewelry shop",32
916,"Costume rental service",32
917,"Costume store",32
918,Cottage,28
919,"Cottage rental",28
920,"Cotton exporter",2
921,"Cotton mill",21
922,"Cotton supplier",35
923,Council,15
924,Counselor,27
925,"Countertop contractor",7
926,"Countertop store",32
927,"Country club",34
928,"Country food restaurant",14
929,"Country house",28
930,"Country park",20
931,"County government office",15
932,"Courier service",37
933,"Court executive officer",27
934,"Court reporter",27
935,"Couscous restaurant",14
936,"Couture store",32
937,"Coworking space",28
938,"Crab house",14
939,"Craft store",32
940,"Cramming school",9
941,"Crane dealer",8
942,"Crane rental agency",7
943,"Crane service",7
944,"Craniosacral therapy",17
945,Creche,19
946,"Credit counseling service",13
947,"Credit reporting agency",13
948,"Credit union",13
949,"Cremation service",1
950,"Creole restaurant",14
951,Crêperie,14
952,"Cricket club",34
953,"Cricket ground",34
954,"Cricket shop",34
955,"Crime victim service",27
956,"Criminal justice attorney",27
957,"Croatian restaurant",14
958,"Crop grower",2
959,"Croquet club",34
960,"Cruise agency",20
961,"Cruise line company",20
962,"Cruise terminal",20
963,"Crushed stone supplier",35
964,"Cuban restaurant",14
965,"Culinary school",9
966,"Cultural association",23
967,"Cultural center",4
968,"Cultural landmark",4
969,"Cupcake shop",14
970,"Cupra dealer",8
971,"Cured ham bar",14
972,"Cured ham store",14
973,"Cured ham warehouse",14
974,"Curling club",34
975,"Curling hall",34
976,"Currency exchange service",13
977,"Curtain and upholstery cleaning service",19
978,"Curtain store",32
979,"Curtain supplier and maker",35
980,"Custom confiscated goods store",32
981,"Custom home builder",7
982,"Custom label printer",21
983,"Custom t-shirt store",32
984,"Custom tailor",32
985,"Customs broker",37
986,"Customs consultant",27
987,"Customs department",15
988,"Customs office",15
989,"Customs warehouse",37
990,"Cutlery store",32
991,"Cycle rickshaw stand",37
992,"Cycling park",34
993,"Czech restaurant",14
994,"Dacia dealer",8
995,"Daihatsu dealer",8
996,Dairy,14
997,"Dairy farm",2
998,"Dairy farm equipment supplier",35
999,"Dairy store",14
1000,"Dairy supplier",35
1001,"Dan Dan noodle restaurant",14
1002,"Dance club",4
1003,"Dance company",4
1004,"Dance conservatory",9
1005,"Dance hall",4
1006,"Dance pavilion",4
1007,"Dance restaurant",14
1008,"Dance school",9
1009,"Dance store",32
1010,"Danish restaurant",14
1011,"Dart bar",34
1012,"Dart supply store",32
1013,"Data entry service",27
1014,"Data recovery service",27
1015,"Database management company",36
1016,"Dating service",33
1017,"Day care center",19
1018,"Day spa",6
1019,"Deaf church",30
1020,"Deaf service",33
1021,"Dealer of Fiat Professional",8
1022,"Debris removal service",24
1023,"Debt collecting",13
1024,"Debt collection agency",13
1025,"Decal supplier",35
1026,"Deck builder",7
1027,Deli,14
1028,"Delivery Chinese restaurant",14
1029,"Delivery service",37
1030,"Demolition contractor",7
1031,"Jeans shop",32
1032,"Dental clinic",22
1033,"Dental hygienist",22
1034,"Dental implants periodontist",22
1035,"Dental implants provider",22
1036,"Dental insurance agency",13
1037,"Dental laboratory",17
1038,"Dental radiology",17
1039,"Dental school",9
1040,"Dental supply store",32
1041,Dentist,22
1042,"Denture care center",17
1043,"Department for Regional Development",15
1044,"Department of education",15
1045,"Department of finance",15
1046,"Department of housing",15
1047,"Department of motor vehicles",15
1048,"Department of Public Safety",15
1049,"Department of Social Services",15
1050,"Department of Transportation",15
1051,"Department store",32
1052,"Dept of City Treasure",15
1053,"Department of State Treasure",15
1054,Dermatologist,22
1055,"Desalination plant",10
1056,"Design engineer",11
1057,"Design institute",9
1058,"Desktop publishing service",27
1059,"Sweets and dessert buffet",14
1060,"Dessert restaurant",14
1061,"Dessert shop",14
1062,"Detention center",15
1063,Dhaba,14
1064,"Diabetes center",17
1065,"Diabetes equipment supplier",35
1066,Diabetologist,22
1067,"Diagnostic center",17
1068,"Dialysis center",17
1069,"Diamond buyer",1
1070,"Diamond dealer",8
1071,"Diaper service",19
1072,"Diesel engine dealer",8
1073,"Diesel engine repair service",31
1074,"Diesel fuel supplier",35
1075,Dietitian,17
1076,"Digital printer",27
1077,"Digital printing service",27
1078,"Dim sum restaurant",14
1079,Diner,14
1080,"Dinner theater",4
1081,"Direct mail advertising",27
1082,"Dirt supplier",35
1083,"Disability equipment supplier",35
1084,"Disability services & support organization",33
1085,"Disabled sports center",34
1086,"Disc golf course",34
1087,"Disciples of Christ Church",30
1088,"Disco club",4
1089,"Discount store",32
1090,"Discount supermarket",32
1091,"Display home centre",28
1092,"Display stand manufacturer",21
1093,"Disposable tableware supplier",35
1094,"Distance learning center",9
1095,Distillery,14
1096,"Distribution service",37
1097,"District attorney",27
1098,"District council",15
1099,"District government office",15
1100,"District Justice",27
1101,"District office",15
1102,"Dive club",34
1103,"Dive shop",34
1104,"Diving center",34
1105,"Diving contractor",7
1106,"Divorce lawyer",27
1107,"Divorce service",27
